"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.527300019E2,6.650256423E1,2.575645453E1,1.149410703E2,1.564080881E0,9.147338867E1,4.737413416E0,3.373640638E0
1.537299963E2,6.650256453E1,2.575649129E1,1.151741657E2,1.564027167E0,9.147338867E1,4.737371999E0,3.373698797E0
1.547299916E2,6.650256418E1,2.575652595E1,1.153062831E2,1.558654485E0,9.147338867E1,4.737472131E0,3.373558187E0
1.557299868E2,6.650256381E1,2.575656216E1,1.158746381E2,1.556637416E0,9.147338867E1,4.737585616E0,3.373398815E0
1.567299819E2,6.650256314E1,2.575659724E1,1.164711349E2,1.534845207E0,9.147338867E1,4.738328259E0,3.372355607E0
1.577299765E2,6.650256310E1,2.575663062E1,1.163319887E2,1.564661328E0,9.147338867E1,4.738296029E0,3.372400892E0
1.587299727E2,6.650256124E1,2.575666324E1,1.156924988E2,1.464539168E0,9.147338867E1,4.737805112E0,3.373090534E0
1.597299675E2,6.650255755E1,2.575669967E1,1.161084670E2,1.534978395E0,9.352798462E1,4.737801797E0,3.373095191E0
1.607299631E2,6.650254659E1,2.575673202E1,1.165687851E2,1.552404917E0,9.352798462E1,4.738408711E0,3.372242566E0
1.617299581E2,6.650254100E1,2.575675369E1,1.164851247E2,1.473874818E0,9.577554321E1,4.737043337E0,3.374160259E0
1.627299536E2,6.650253635E1,2.575677996E1,1.160944939E2,1.348021106E0,9.577554321E1,4.736464225E0,3.374973138E0
1.637299485E2,6.650253363E1,2.575679470E1,1.150227533E2,9.388076492E-1,9.577554321E1,4.736139154E0,3.375429298E0
1.647299441E2,6.650253338E1,2.575682697E1,1.142659994E2,1.242495057E0,9.921896362E1,4.735556149E0,3.376247176E0
1.657299402E2,6.650253574E1,2.575686634E1,1.142157023E2,1.455406984E0,9.577554321E1,4.736316260E0,3.375180783E0
1.667299356E2,6.650253058E1,2.575689660E1,1.142844479E2,1.483931099E0,9.921896362E1,4.734888981E0,3.377182756E0
1.677299305E2,6.650253092E1,2.575693466E1,1.144752959E2,1.494636201E0,9.921896362E1,4.734880436E0,3.377194737E0
1.687299262E2,6.650253236E1,2.575697512E1,1.148647766E2,1.518740854E0,9.577554321E1,4.735081878E0,3.376912294E0
1.697299223E2,6.650252947E1,2.575700646E1,1.162942692E2,1.492582844E0,9.921896362E1,4.731055572E0,3.382550843E0
1.707299176E2,6.650252845E1,2.575704550E1,1.164450131E2,1.531338939E0,9.921896362E1,4.734995904E0,3.377032843E0
1.717299136E2,6.650252701E1,2.575708037E1,1.153489544E2,1.486238106E0,9.921896362E1,4.734254760E0,3.378071772E0
1.727299087E2,6.650252458E1,2.575711477E1,1.153883317E2,1.522618110E0,9.921896362E1,4.728883291E0,3.385587076E0
1.737299051E2,6.650252331E1,2.575715260E1,1.155614526E2,1.510462688E0,1.028789368E2,4.726605266E0,3.388766693E0
1.747299007E2,6.650252156E1,2.575718578E1,1.149668098E2,1.479259714E0,1.028789368E2,4.726652845E0,3.388700328E0
1.757298959E2,6.650251892E1,2.575722356E1,1.149914642E2,1.543895924E0,1.028789368E2,4.728119231E0,3.386654038E0
1.767298917E2,6.650251564E1,2.575725877E1,1.149861600E2,1.504966933E0,1.050891113E2,4.729388530E0,3.384881263E0
1.777298874E2,6.650251006E1,2.575729809E1,1.154719174E2,1.536658811E0,1.050891113E2,4.730709744E0,3.383034488E0
1.787298838E2,6.650250071E1,2.575733687E1,1.155628019E2,1.566618680E0,1.050891113E2,4.726917783E0,3.388330755E0
1.797298791E2,6.650249389E1,2.575737170E1,1.158010731E2,1.544275023E0,1.052376099E2,4.724241430E0,3.392061313E0
1.807298753E2,6.650248764E1,2.575740144E1,1.156001651E2,1.460804816E0,1.052376099E2,4.726715590E0,3.388612808E0
1.817298712E2,6.650248087E1,2.575743593E1,1.156364374E2,1.458516149E0,1.052376099E2,4.727850746E0,3.387028839E0
1.827298671E2,6.650247279E1,2.575746662E1,1.156634154E2,1.476246575E0,1.052376099E2,4.727420359E0,3.387629522E0
1.837298633E2,6.650246835E1,2.575749249E1,1.154535463E2,1.380828856E0,1.052376099E2,4.728765869E0,3.385751082E0
1.847298591E2,6.650246325E1,2.575752040E1,1.154923208E2,1.426696672E0,1.052376099E2,4.728484163E0,3.386144497E0
1.857298547E2,6.650246421E1,2.575755957E1,1.155259381E2,1.470960894E0,1.052376099E2,4.728284870E0,3.386422776E0
1.867298504E2,6.650246825E1,2.575759082E1,1.150210016E2,1.294764342E0,9.929919434E1,4.729822381E0,3.384275000E0
1.877298464E2,6.650247178E1,2.575763367E1,1.162302526E2,1.531651460E0,9.929919434E1,4.728836603E0,3.385652288E0
1.887298425E2,6.650246825E1,2.575766896E1,1.165688737E2,1.517184529E0,9.929919434E1,4.726122888E0,3.389439405E0
1.897298380E2,6.650246903E1,2.575770589E1,1.165655113E2,1.522483681E0,9.929919434E1,4.726618943E0,3.388747616E0
